id,title,company,category,job_type,publication_date,salary,location,url,source
mock_31,Senior Frontend Developer,TCS,Technology,Full-time,2026-05-08,36L - 43L INR,"Bangalore, KA",https://www.linkedin.com/jobs,LinkedIn
mock_32,Senior Backend Developer,Infosys,Technology,Full-time,2026-05-08,37L - 44L INR,"Mumbai, MH",https://www.linkedin.com/jobs,LinkedIn
mock_33,Senior Full Stack Developer,Wipro,Technology,Full-time,2026-05-08,38L - 45L INR,"Delhi, NCR",https://www.linkedin.com/jobs,LinkedIn
mock_34,Senior Data Scientist,HCLTech,Technology,Full-time,2026-05-08,39L - 46L INR,"Hyderabad, TS",https://www.linkedin.com/jobs,LinkedIn
mock_35,Senior UI/UX Designer,Zomato,Technology,Full-time,2026-05-08,40L - 47L INR,"Pune, MH",https://www.linkedin.com/jobs,LinkedIn
mock_36,Senior DevOps Engineer,Swiggy,Technology,Full-time,2026-05-08,41L - 48L INR,"Chennai, TN",https://www.linkedin.com/jobs,LinkedIn
mock_37,Senior Product Manager,Paytm,Technology,Full-time,2026-05-08,42L - 49L INR,"Gurgaon, HR",https://www.linkedin.com/jobs,LinkedIn
mock_38,Senior QA Analyst,PhonePe,Technology,Full-time,2026-05-08,43L - 50L INR,"Noida, UP",https://www.linkedin.com/jobs,LinkedIn
mock_39,Senior Mobile Developer,Flipkart,Technology,Full-time,2026-05-08,44L - 51L INR,"Ahmedabad, GJ",https://www.linkedin.com/jobs,LinkedIn
mock_40,Senior Software Engineer,Classroom Tech,Technology,Full-time,2026-05-08,45L - 52L INR,"Jaipur, RJ",https://www.linkedin.com/jobs,LinkedIn
mock_41,Senior Frontend Developer,TCS,Technology,Full-time,2026-05-08,46L - 53L INR,"Chandigarh, PB",https://www.linkedin.com/jobs,LinkedIn
mock_42,Senior Backend Developer,Infosys,Technology,Full-time,2026-05-08,47L - 54L INR,"Lucknow, UP",https://www.linkedin.com/jobs,LinkedIn
mock_43,Senior Full Stack Developer,Wipro,Technology,Full-time,2026-05-08,48L - 55L INR,"Kochi, KL",https://www.linkedin.com/jobs,LinkedIn
mock_44,Senior Data Scientist,HCLTech,Technology,Full-time,2026-05-08,49L - 56L INR,"Indore, MP",https://www.linkedin.com/jobs,LinkedIn
mock_45,Senior UI/UX Designer,Zomato,Technology,Full-time,2026-05-08,50L - 57L INR,"Kolkata, WB",https://www.linkedin.com/jobs,LinkedIn
mock_46,Senior DevOps Engineer,Swiggy,Technology,Full-time,2026-05-08,51L - 58L INR,"Bangalore, KA",https://www.linkedin.com/jobs,LinkedIn
mock_47,Senior Product Manager,Paytm,Technology,Full-time,2026-05-08,52L - 59L INR,"Mumbai, MH",https://www.linkedin.com/jobs,LinkedIn
mock_48,Senior QA Analyst,PhonePe,Technology,Full-time,2026-05-08,53L - 60L INR,"Delhi, NCR",https://www.linkedin.com/jobs,LinkedIn
mock_49,Senior Mobile Developer,Flipkart,Technology,Full-time,2026-05-08,54L - 61L INR,"Hyderabad, TS",https://www.linkedin.com/jobs,LinkedIn
